diag_nat_code,chapter_range,chapter_name,group_range,group_name,sub_group_range,sub_group_name
R068,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R09,Symptoms and signs involving the circulatory and respiratory systems,R00-R09,Symptoms and signs involving the circulatory and respiratory systems
Z933,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
R520,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50-R69,General symptoms and signs,R50-R69,General symptoms and signs
E639,E00-E90,"Endocrine, nutritional and metabolic diseases",E50-E64,Other nutritional deficiencies,E50-E64,Other nutritional deficiencies
Z878,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
R591,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50-R69,General symptoms and signs,R50-R69,General symptoms and signs
Z936,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
R000,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R09,Symptoms and signs involving the circulatory and respiratory systems,R00-R09,Symptoms and signs involving the circulatory and respiratory systems
Q132,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q10-Q18,"Congenital malformations of eye, ear, face and neck",Q10-Q18,"Congenital malformations of eye, ear, face and neck"
Z507,Z00-Z99,Factors influencing health status and contact with health services,Z40-Z54,Persons encountering health services for specific procedures and health care,Z40-Z54,Persons encountering health services for specific procedures and health care
D593,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D55-D59,Haemolytic anaemias,D55-D59,Haemolytic anaemias
Q043,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q07,Congenital malformations of the nervous system,Q00-Q07,Congenital malformations of the nervous system
F418,F00-F99,Mental and behavioural disorders,F40-F48,"Neurotic, stress-related and somatoform disorders",F40-F48,"Neurotic, stress-related and somatoform disorders"
Mrc,,,,,,
Q211,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q20-Q28,Congenital malformations of the circulatory system,Q20-Q28,Congenital malformations of the circulatory system
E785,E00-E90,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E70-E90,Metabolic disorders
E720,E00-E90,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E70-E90,Metabolic disorders
Z871,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
L55,L00-L99,Diseases of the skin and subcutaneous tissue,L55-L59,Radiation-related disorders of the skin and subcutaneous tissue,L55-L59,Radiation-related disorders of the skin and subcutaneous tissue
D689,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions"
D728,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D70-D77,Other diseases of blood and blood-forming organs,D70-D77,Other diseases of blood and blood-forming organs
F840,F00-F99,Mental and behavioural disorders,F80-F89,Disorders of psychological development,F80-F89,Disorders of psychological development
N137,N00-N99,Diseases of the genitourinary system,N10-N16,Renal tubulo-interstitial diseases,N10-N16,Renal tubulo-interstitial diseases
R31,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R30-R39,Symptoms and signs involving the urinary system,R30-R39,Symptoms and signs involving the urinary system
G959,G00-G99,Diseases of the nervous system,G90-G99,Other disorders of the nervous system,G90-G99,Other disorders of the nervous system
Z867,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z877,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Y830,V01-Y98,External causes of morbidity and mortality,Y40-Y84,Complications of medical and surgical care,Y83-Y84,"Surgical and other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
Q923,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q90-Q99,"Chromosomal abnormalities, not elsewhere classified",Q90-Q99,"Chromosomal abnormalities, not elsewhere classified"
K068,K00-K93,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K00-K14,"Diseases of oral cavity, salivary glands and jaws"
Z921,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z866,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z874,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
I959,I00-I99,Diseases of the circulatory system,I95-I99,Other and unspecified disorders of the circulatory system,I95-I99,Other and unspecified disorders of the circulatory system
G379,G00-G99,Diseases of the nervous system,G35-G37,Demyelinating diseases of the central nervous system,G35-G37,Demyelinating diseases of the central nervous system
E559,E00-E90,"Endocrine, nutritional and metabolic diseases",E50-E64,Other nutritional deficiencies,E50-E64,Other nutritional deficiencies
N319,N00-N99,Diseases of the genitourinary system,N30-N39,Other diseases of urinary system,N30-N39,Other diseases of urinary system
Q437,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q38-Q45,Other congenital malformations of the digestive system,Q38-Q45,Other congenital malformations of the digestive system
Q120,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q10-Q18,"Congenital malformations of eye, ear, face and neck",Q10-Q18,"Congenital malformations of eye, ear, face and neck"
Q851,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q80-Q89,Other congenital malformations,Q80-Q89,Other congenital malformations
E771,E00-E90,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E70-E90,Metabolic disorders
N133,N00-N99,Diseases of the genitourinary system,N10-N16,Renal tubulo-interstitial diseases,N10-N16,Renal tubulo-interstitial diseases
E611,E00-E90,"Endocrine, nutritional and metabolic diseases",E50-E64,Other nutritional deficiencies,E50-E64,Other nutritional deficiencies
I871,I00-I99,Diseases of the circulatory system,I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
N390,N00-N99,Diseases of the genitourinary system,N30-N39,Other diseases of urinary system,N30-N39,Other diseases of urinary system
N288,N00-N99,Diseases of the genitourinary system,N25-N29,Other disorders of kidney and ureter,N25-N29,Other disorders of kidney and ureter
R629,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50-R69,General symptoms and signs,R50-R69,General symptoms and signs
N821,N00-N99,Diseases of the genitourinary system,N80-N98,Noninflammatory disorders of female genital tract,N80-N98,Noninflammatory disorders of female genital tract
R05,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R09,Symptoms and signs involving the circulatory and respiratory systems,R00-R09,Symptoms and signs involving the circulatory and respiratory systems
R638,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50-R69,General symptoms and signs,R50-R69,General symptoms and signs
I352,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,I30-I52,Other forms of heart disease
R650,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50-R69,General symptoms and signs,R50-R69,General symptoms and signs
Z960,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
R739,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R70-R79,"Abnormal findings on examination of blood, without diagnosis",R70-R79,"Abnormal findings on examination of blood, without diagnosis"
Q645,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q60-Q64,Congenital malformations of the urinary system,Q60-Q64,Congenital malformations of the urinary system
K298,K00-K93,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K20-K31,"Diseases of oesophagus, stomach and duodenum"
Z928,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Q777,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q65-Q79,Congenital malformations and deformations of the musculoskeletal system,Q65-Q79,Congenital malformations and deformations of the musculoskeletal system
B972,A00-B99,Certain infectious and parasitic diseases,B95-B98,"Bacterial, viral and other infectious agents",B95-B98,"Bacterial, viral and other infectious agents"
D696,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions"
Z223,Z00-Z99,Factors influencing health status and contact with health services,Z20-Z29,Persons with potential health hazards related to communicable diseases,Z20-Z29,Persons with potential health hazards related to communicable diseases
Q619,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q60-Q64,Congenital malformations of the urinary system,Q60-Q64,Congenital malformations of the urinary system
K590,K00-K93,Diseases of the digestive system,K55-K64,Other diseases of intestines,K55-K64,Other diseases of intestines
M2457,M00-M99,Diseases of the musculoskeletal system and connective tissue,M00-M25,Arthropathies,M20-M25,Other joint disorders
N12,N00-N99,Diseases of the genitourinary system,N10-N16,Renal tubulo-interstitial diseases,N10-N16,Renal tubulo-interstitial diseases
Q253,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q20-Q28,Congenital malformations of the circulatory system,Q20-Q28,Congenital malformations of the circulatory system
Z831,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z290,Z00-Z99,Factors influencing health status and contact with health services,Z20-Z29,Persons with potential health hazards related to communicable diseases,Z20-Z29,Persons with potential health hazards related to communicable diseases
Z843,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
F919,F00-F99,Mental and behavioural disorders,F90-F98,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,F90-F98,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
T136,S00-T98,"Injury, poisoning and certain other consequences of external causes",T08-T14,"Injuries to unspecified part of trunk, limb or body region",T08-T14,"Injuries to unspecified part of trunk, limb or body region"
Z638,Z00-Z99,Factors influencing health status and contact with health services,Z55-Z65,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,Z55-Z65,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
Q850,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q80-Q89,Other congenital malformations,Q80-Q89,Other congenital malformations
N184,N00-N99,Diseases of the genitourinary system,N17-N19,Renal failure,N17-N19,Renal failure
O358,O00-O99,"Pregnancy, childbirth and the puerperium",O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems
Q564,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q50-Q56,Congenital malformations of genital organs,Q50-Q56,Congenital malformations of genital organs
Z948,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Q615,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q60-Q64,Congenital malformations of the urinary system,Q60-Q64,Congenital malformations of the urinary system
N059,N00-N99,Diseases of the genitourinary system,N00-N08,Glomerular diseases,N00-N08,Glomerular diseases
D563,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D55-D59,Haemolytic anaemias,D55-D59,Haemolytic anaemias
Q848,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q80-Q89,Other congenital malformations,Q80-Q89,Other congenital malformations
I150,I00-I99,Diseases of the circulatory system,I10-I15,Hypertensive diseases,I10-I15,Hypertensive diseases
E711,E00-E90,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E70-E90,Metabolic disorders
Z017,Z00-Z99,Factors influencing health status and contact with health services,Z00-Z13,Persons encountering health services for examination and investigation,Z00-Z13,Persons encountering health services for examination and investigation
Z911,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
I469,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,I30-I52,Other forms of heart disease
S60,S00-T98,"Injury, poisoning and certain other consequences of external causes",S60-S69,Injuries to the wrist and hand,S60-S69,Injuries to the wrist and hand
Q999,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q90-Q99,"Chromosomal abnormalities, not elsewhere classified",Q90-Q99,"Chromosomal abnormalities, not elsewhere classified"
Q320,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q30-Q34,Congenital malformations of the respiratory system,Q30-Q34,Congenital malformations of the respiratory system
Z653,Z00-Z99,Factors influencing health status and contact with health services,Z55-Z65,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,Z55-Z65,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
D819,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D80-D89,Certain disorders involving the immune mechanism,D80-D89,Certain disorders involving the immune mechanism
IMO0002,,,,,,
Q518,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q50-Q56,Congenital malformations of genital organs,Q50-Q56,Congenital malformations of genital organs
N328,N00-N99,Diseases of the genitourinary system,N30-N39,Other diseases of urinary system,N30-N39,Other diseases of urinary system
I10,I00-I99,Diseases of the circulatory system,I10-I15,Hypertensive diseases,I10-I15,Hypertensive diseases
F900,F00-F99,Mental and behavioural disorders,F90-F98,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,F90-F98,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence
Z863,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
E213,E00-E90,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E20-E35,Disorders of other endocrine glands
M109,M00-M99,Diseases of the musculoskeletal system and connective tissue,M00-M25,Arthropathies,M05-M14,Inflammatory polyarthropathies
Z860,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
E139,E00-E90,"Endocrine, nutritional and metabolic diseases",E10-E14,Diabetes mellitus,E10-E14,Diabetes mellitus
N041,N00-N99,Diseases of the genitourinary system,N00-N08,Glomerular diseases,N00-N08,Glomerular diseases
K529,K00-K93,Diseases of the digestive system,K50-K52,Noninfective enteritis and colitis,K50-K52,Noninfective enteritis and colitis
N10,N00-N99,Diseases of the genitourinary system,N10-N16,Renal tubulo-interstitial diseases,N10-N16,Renal tubulo-interstitial diseases
H355,H00-H59,Diseases of the eye and adnexa,H30-H36,Disorders of choroid and retina,H30-H36,Disorders of choroid and retina
Q138,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q10-Q18,"Congenital malformations of eye, ear, face and neck",Q10-Q18,"Congenital malformations of eye, ear, face and neck"
Z010,Z00-Z99,Factors influencing health status and contact with health services,Z00-Z13,Persons encountering health services for examination and investigation,Z00-Z13,Persons encountering health services for examination and investigation
Z827,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
R458,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R40-R46,"Symptoms and signs involving cognition, perception, emotional state and behaviour",R40-R46,"Symptoms and signs involving cognition, perception, emotional state and behaviour"
Q068,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q07,Congenital malformations of the nervous system,Q00-Q07,Congenital malformations of the nervous system
Z992,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z881,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
H522,H00-H59,Diseases of the eye and adnexa,H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction"
N058,N00-N99,Diseases of the genitourinary system,N00-N08,Glomerular diseases,N00-N08,Glomerular diseases
Z862,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
R633,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50-R69,General symptoms and signs,R50-R69,General symptoms and signs
I510,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,I30-I52,Other forms of heart disease
Q639,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q60-Q64,Congenital malformations of the urinary system,Q60-Q64,Congenital malformations of the urinary system
Drc,,,,,,
Nrc,,,,,,
I776,I00-I99,Diseases of the circulatory system,I70-I79,"Diseases of arteries, arterioles and capillaries",I70-I79,"Diseases of arteries, arterioles and capillaries"
